,Date,SC_M1
439,2017-08-18,288.06640625
1314,2017-08-19,292.650390625
1306,2017-08-20,291.9169921875
440,2017-08-21,293.97216796875
441,2017-08-22,280.0908203125
442,2017-08-23,282.0595703125
443,2017-08-24,295.2197265625
444,2017-08-25,297.078125
1315,2017-08-26,301.296875
1308,2017-08-27,300.771484375
1309,2017-08-28,303.9384765625
445,2017-08-29,280.8828125
446,2017-08-30,283.369140625
447,2017-08-31,302.8571875
448,2017-09-01,301.35546875
1317,2017-09-02,303.796875
1318,2017-09-03,315.2451171875
449,2017-09-04,310.62109375
450,2017-09-05,287.380859375
451,2017-09-06,285.3388671875
452,2017-09-07,315.64453125
453,2017-09-08,312.509765625
1320,2017-09-09,313.02734375
1321,2017-09-10,323.0126953125
454,2017-09-11,320.33984375
455,2017-09-12,286.95703125
456,2017-09-13,287.81689453125
457,2017-09-14,319.146484375
458,2017-09-15,313.0556640625
1323,2017-09-16,317.55859375
1324,2017-09-17,321.79296875
459,2017-09-18,320.828125
460,2017-09-19,293.65234375
461,2017-09-20,291.54296875
462,2017-09-21,327.033203125
463,2017-09-22,319.138671875
1326,2017-09-23,319.041015625
1327,2017-09-24,323.99609375
464,2017-09-25,325.48046875
465,2017-09-26,300.87109375
466,2017-09-27,297.8046875
467,2017-09-28,302.2470703125
468,2017-09-29,315.257421875
1328,2017-09-30,340.1163330078125
1316,2017-10-01,323.29296875
469,2017-10-02,298.322265625
470,2017-10-03,308.72802734375
471,2017-10-04,333.5126953125
472,2017-10-05,324.638671875
473,2017-10-06,320.162109375
1330,2017-10-07,339.37109375
1319,2017-10-08,335.92578125
474,2017-10-09,308.69921875
475,2017-10-10,320.50634765625
476,2017-10-11,338.3134765625
477,2017-10-12,323.25439453125
478,2017-10-13,321.2294921875
1332,2017-10-14,329.5859375
1322,2017-10-15,325.779296875
479,2017-10-16,315.470703125
480,2017-10-17,317.6015625
481,2017-10-18,330.310546875
482,2017-10-19,314.517578125
483,2017-10-20,312.6494140625
1334,2017-10-21,320.76318359375
1325,2017-10-22,312.375
484,2017-10-23,314.44189453125
485,2017-10-24,322.67041015625
486,2017-10-25,318.015625
487,2017-10-26,306.8203125
488,2017-10-27,297.404296875
1336,2017-10-28,299.1708984375
1337,2017-10-29,306.078125
489,2017-10-30,312.0390625
490,2017-10-31,319.393125
491,2017-11-01,320.84765625
492,2017-11-02,291.97265625
493,2017-11-03,297.728515625
1339,2017-11-04,309.9609375
1329,2017-11-05,311.14453125
494,2017-11-06,307.8857421875
495,2017-11-07,333.832763671875
496,2017-11-08,331.1328125
497,2017-11-09,308.671875
498,2017-11-10,318.2822265625
1341,2017-11-11,321.4140625
1331,2017-11-12,317.392578125
499,2017-11-13,316.169921875
500,2017-11-14,324.611328125
501,2017-11-15,320.732421875
502,2017-11-16,313.1875
503,2017-11-17,311.947265625
1343,2017-11-18,314.3046875
1333,2017-11-19,304.48828125
504,2017-11-20,308.49609375
505,2017-11-21,309.880859375
506,2017-11-22,300.580078125
507,2017-11-23,311.083984375
508,2017-11-24,313.2216796875
1345,2017-11-25,306.58203125
1335,2017-11-26,302.89453125
509,2017-11-27,303.86572265625
510,2017-11-28,296.54248046875
511,2017-11-29,302.55078125
512,2017-11-30,320.69756942749024
513,2017-12-01,315.58984375
1350,2017-12-02,305.52734375
1338,2017-12-03,311.568359375
514,2017-12-04,306.2177734375
515,2017-12-05,300.64453125
516,2017-12-06,316.70068359375
517,2017-12-07,325.10498046875
518,2017-12-08,324.888671875
1352,2017-12-09,310.7578125
1340,2017-12-10,313.9892578125
519,2017-12-11,318.728515625
520,2017-12-12,316.076171875
521,2017-12-13,312.18310546875
522,2017-12-14,316.689453125
523,2017-12-15,319.7841796875
1354,2017-12-16,318.10546875
1342,2017-12-17,318.5703125
524,2017-12-18,308.3984375
525,2017-12-19,299.70703125
526,2017-12-20,316.783447265625
527,2017-12-21,318.659423828125
528,2017-12-22,312.626953125
1356,2017-12-23,317.208984375
1344,2017-12-24,318.8046875
1346,2017-12-25,303.08203125
1347,2017-12-26,303.0
529,2017-12-27,315.6103515625
530,2017-12-28,314.35498046875
531,2017-12-29,319.220625
1358,2017-12-30,324.49609375
1348,2017-12-31,316.0546875
1349,2018-01-01,329.021484375
532,2018-01-02,302.94140625
533,2018-01-03,307.8466796875
534,2018-01-04,323.458984375
535,2018-01-05,321.4873046875
1359,2018-01-06,332.564453125
1351,2018-01-07,333.7255859375
536,2018-01-08,338.658203125
537,2018-01-09,310.923828125
538,2018-01-10,315.1708984375
539,2018-01-11,335.77734375
540,2018-01-12,334.861328125
1360,2018-01-13,336.587890625
1353,2018-01-14,333.611328125
541,2018-01-15,334.75390625
542,2018-01-16,315.916015625
543,2018-01-17,316.322265625
544,2018-01-18,331.537109375
545,2018-01-19,329.369140625
1361,2018-01-20,336.83984375
1355,2018-01-21,337.8359375
546,2018-01-22,336.5830078125
547,2018-01-23,315.9375
548,2018-01-24,318.380859375
549,2018-01-25,300.93359375
550,2018-01-26,300.3046875
1378,2018-01-27,340.744140625
1357,2018-01-28,340.998046875
551,2018-01-29,341.9453125
552,2018-01-30,324.08984375
553,2018-01-31,313.09546875
554,2018-02-01,325.62890625
555,2018-02-02,329.154296875
1362,2018-02-03,335.40625
1364,2018-02-04,341.09765625
556,2018-02-05,341.66064453125
557,2018-02-06,330.4326171875
558,2018-02-07,332.365234375
559,2018-02-08,348.2392578125
